e52	e23	x38	xv38	vinqi	vinqi_fonetik	pnzabi	xp38	guzraji	xg38	bNgali	xb38
sharp	sharp	Sarp	jiKa	तीखा	शार्प	তীখা	jiKa	তীখা	jiKa		
she	she	Si	wv	वह	शी	঵হ	wv	঵হ	wv		
sheet	sheet	Sit	caqr	चादर	शीट	চাদর	caqr	চাদর	caqr		
shelf	shelf	Self	qraz	दराज	शेल्फ	দরাজ	qraz	দরাজ	qraz		
shell	shell	Sxil	sip	सीप	शैल	সীপ	sip	সীপ	sip		
shelter	shelter	Seltr	xaSry	आश्रय	शेल्टर	আশ্রয	xaSry	আশ্রয	xaSry		
shift	shift	Sift	Kisk zana	खिसक जाना	शिफ्ट	খিসক জানা	Kisk zana	খিসক জানা	Kisk zana		
shine	shine	Sain	cmk	चमक	शाइन	চমক	cmk	চমক	cmk		
ship	ship	Sip	smunqri zvaz	समुंद्री जहाज	शिप	সমুংদ্রী জহাজ	smunqri zvaz	সমুংদ্রী জহাজ	smunqri zvaz		
shirt	shirt	Srt	Srt	शर्ट	शर्ट	শর্ট	Srt	শর্ট	Srt		
shit	shit	svij	ml	मल	सहित	মল	ml	মল	ml		
shock	shock	Sak	Ztka	झटका	शॉक	ঝটকা	Ztka	ঝটকা	Ztka		
shoe	shoe	Su	zuja	जूता	शू	জূতা	zuja	জূতা	zuja		
shoot	shoot	Sut	goli mar	गोली मार	शूट	গোলী মার	goli mar	গোলী মার	goli mar		
shooting	shooting	SutiNg	SutiNg	शूटिंग	शूटिंग	শূটিংগ	SutiNg	শূটিংগ	SutiNg		
shop	shop	Sap	qukan	दुकान	शॉप	দুকান	qukan	দুকান	qukan		
shopping	shopping	SapiNg	Kriqari	खरीदारी	शॉपिंग	খরীদারী	Kriqari	খরীদারী	Kriqari		
shore	shore	Sore	kinara	किनारा	शोरे	কিনারা	kinara	কিনারা	kinara		
short	short	Sart	km	कम	शार्ट	কম	km	কম	km		
shortly	shortly	Sartli	kuC vi qer me	कुछ ही देर में	शॉर्टली	কুছ হী দের মেং	kuC vi qer me	কুছ হী দের মেং	kuC vi qer me		
shot	shot	Sat	goli marna	गोली मारना	शॉट	গোলী মারনা	goli marna	গোলী মারনা	goli marna		
should	should	Sud	cavie	चाहिए	शुड	চাহিএ	cavie	চাহিএ	cavie		
shoulder	shoulder	Soldr	knQa	कंधा	शोल्डर	কংধা	knQa	কংধা	knQa		
shout	shout	Sat	cillana	चिल्लाना	शॉट	চিল্লানা	cillana	চিল্লানা	cillana		
show	show	So	prqrSn	प्रदर्शन	शो	প্রদর্শন	prqrSn	প্রদর্শন	prqrSn		
shower	shower	Sawr	bouCar	बौछार	शावर	বৌছার	bouCar	বৌছার	bouCar		
shrug	shrug	SrNg	knQe uckane ki kriya	कंधे उचकाने की क्रिया	शृंग	কংধে উচকানে কী ক্রিযা	knQe uckane ki kriya	কংধে উচকানে কী ক্রিযা	knQe uckane ki kriya		
shut	shut	St	bnq krna	बंद करना	शट	বংদ করনা	bnq krna	বংদ করনা	bnq krna		
sick	sick	sik	bimar	बीमार	सिक	বীমার	bimar	বীমার	bimar		
side	side	said	pS	पक्ष	साइड	পক্ষ	pS	পক্ষ	pS		
sigh	sigh	siG	sans	साँस	सिघ	সাঁস	sans	সাঁস	sans		
sight	sight	siGj	qrSy	दृश्य	सिघ्त	দৃশ্য	qrSy	দৃশ্য	qrSy		
sign	sign	sign	sNkej	संकेत	सिग्न	সংকেত	sNkej	সংকেত	sNkej		
signal	signal	signl	sNkej	संकेत	सिग्नल	সংকেত	sNkej	সংকেত	sNkej		
significance	significance	signifikens	mvjw	महत्व	सिग्नीफिकेन्स	মহত্঵	mvjw	মহত্঵	mvjw		
significant	significant	signifikent	mvjwpurn	महत्वपूर्ण	सिग्नीफिकेंट	মহত্঵পূর্ণ	mvjwpurn	মহত্঵পূর্ণ	mvjwpurn		
significantly	significantly	signifikanjli	kafi	काफी	सिग्नीफिकांतली	কাফী	kafi	কাফী	kafi		
silence	silence	sailens	Sanji	शांति	साइलेंस	শাংতি	Sanji	শাংতি	Sanji		
silent	silent	sailent	cupcap	चुपचाप	साइलेंट	চুপচাপ	cupcap	চুপচাপ	cupcap		
silver	silwer	silwr	canqi	चांदी	सिल्वर	চাংদী	canqi	চাংদী	canqi		
similar	similar	similr	ek zxisa	एक जैसा	सिमिलर	এক জৈসা	ek zxisa	এক জৈসা	ek zxisa		
similarly	similarly	similarli	usi prkar	उसी प्रकार	सिमिलारली	উসী প্রকার	usi prkar	উসী প্রকার	usi prkar		
simple	simple	simpl	srl	सरल	सिंपल	সরল	srl	সরল	srl		
simply	simply	simpli	kewl	केवल	सिम्पली	কে঵ল	kewl	কে঵ল	kewl		
sin	sin	sin	pap	पाप	सिन	পাপ	pap	পাপ	pap		
since	since	sins	zbse	जबसे	सीन्स	জবসে	zbse	জবসে	zbse		
sing	sing	siNg	gao	गाओ	सींग	গাও	gao	গাও	gao		
singer	singer	siNgr	gayk	गायक	सिंगर	গাযক	gayk	গাযক	gayk		
single	single	siNgl	ek	एक	सिंगल	এক	ek	এক	ek		
sink	sink	siNk	dubna	डूबना	सिंक	ডূবনা	dubna	ডূবনা	dubna		
sir	sir	sr	mvoqy	महोदय	सर	মহোদয	mvoqy	মহোদয	mvoqy		
sister	sister	sistr	bvn	बहन	सिस्टर	বহন	bvn	বহন	bvn		
sit	sit	sit	bxiTiye	बैठिये	सीट	বৈঠিযে	bxiTiye	বৈঠিযে	bxiTiye		
site	site	sait	sait	साइट	साइट	সাইট	sait	সাইট	sait		
situation	situation	sicueSn	prisJiji	परिस्थिति	सिचुएशन	পরিস্থিতি	prisJiji	পরিস্থিতি	prisJiji		
six	six	siks	Cv	छह	सिक्स	ছহ	Cv	ছহ	Cv		
size	size	saiz	xakar	आकार	साइज	আকার	xakar	আকার	xakar		
ski	ski	ski	ski	स्की	स्की	স্কী	ski	স্কী	ski		
skill	skill	skil	kouSl	कौशल	स्किल	কৌশল	kouSl	কৌশল	kouSl		
skin	skin	skin	jwca	त्वचा	स्किन	ত্঵চা	jwca	ত্঵চা	jwca		
sky	sky	skai	xakaS	आकाश	स्काई	আকাশ	xakaS	আকাশ	xakaS		
slave	slawe	slew	qas	दास	स्लेव	দাস	qas	দাস	qas		
sleep	sleep	slip	sona	सोना	स्लीप	সোনা	sona	সোনা	sona		
slice	slice	slais	tukRa	टुकड़ा	स्लाइस	টুকড়া	tukRa	টুকড়া	tukRa		
slide	slide	slaid	fisl ptti	फिसल पट्टी	स्लाइड	ফিসল পট্টী	fisl ptti	ফিসল পট্টী	fisl ptti		
slight	slight	sligj	JoRa	थोड़ा	सलीगत	থোড়া	JoRa	থোড়া	JoRa		
slightly	slightly	sliNgtli	JoRa	थोड़ा	स्लिंगटली	থোড়া	JoRa	থোড়া	JoRa		
slip	slip	slip	prci	पर्ची	स्लिप	পর্চী	prci	পর্চী	prci		
slow	slow	slo	Qima	धीमा	स्लो	ধীমা	Qima	ধীমা	Qima		
slowly	slowly	slouli	Qire se	धीरे से	सलौली	ধীরে সে	Qire se	ধীরে সে	Qire se		
small	small	smal	Cota	छोटा	स्माल	ছোটা	Cota	ছোটা	Cota		
smart	smart	smart	voSiyar	होशियार	स्मार्ट	হোশিযার	voSiyar	হোশিযার	voSiyar		
smell	smell	smel	mvk	महक	स्मेल	মহক	mvk	মহক	mvk		
smile	smile	smail	muskurao	मुस्कुराओ	स्माइल	মুস্কুরাও	muskurao	মুস্কুরাও	muskurao		
smoke	smoke	smok	Quxa	धुआँ	स्मोक	ধুআঁ	Quxa	ধুআঁ	Quxa		
smooth	smooth	smuJ	cikna	चिकना	स्मूथ	চিকনা	cikna	চিকনা	cikna		
snap	snap	snep	ctkana	चटकाना	स्नेप	চটকানা	ctkana	চটকানা	ctkana		
snow	snow	sno	brf	बर्फ	स्नो	বর্ফ	brf	বর্ফ	brf		
so	so	so	islie	इसलिए	सो	ইসলিএ	islie	ইসলিএ	islie		
so-called	so-called	so-kald	jJakJij	तथाकथित	सो-कॉल्ड	তথাকথিত	jJakJij	তথাকথিত	jJakJij		
soccer	soccer	sakr	futbal	फ़ुटबॉल	सॉकर	ফ়ুটব৉ল	futbal	ফ়ুটব৉ল	futbal		
social	social	soSl	samazik	सामाजिक	सोशल	সামাজিক	samazik	সামাজিক	samazik		
society	society	sosaiti	smaz	समाज	सोसाइटी	সমাজ	smaz	সমাজ	smaz		
soft	soft	saft	mulaym	मुलायम	सॉफ्ट	মুলাযম	mulaym	মুলাযম	mulaym		
software	software	saftweyr	saftweyr	सॉफ़्टवेयर	सॉफ्टवेयर	স৉ফ়্ট঵েযর	saftweyr	স৉ফ়্ট঵েযর	saftweyr		
soil	soil	sail	Qrji	धरती	साइल	ধরতী	Qrji	ধরতী	Qrji		
solar	solar	solr	sour	सौर	सोलर	সৌর	sour	সৌর	sour		
soldier	soldier	solzr	fozi	फोजी	सोल्जर	ফোজী	fozi	ফোজী	fozi		
solid	solid	salid	Tos	ठोस	सॉलिड	ঠোস	Tos	ঠোস	Tos		
solution	solution	sluSn	smaQan	समाधान	सलूशन	সমাধান	smaQan	সমাধান	smaQan		
solve	solwe	solwe	vl krna	हल करना	सोल्वे	হল করনা	vl krna	হল করনা	vl krna		
some	some	sm	kuC	कुछ	सम	কুছ	kuC	কুছ	kuC		
somebody	somebody	smbdi	koi	कोई	समबडी	কোঈ	koi	কোঈ	koi		
somehow	somehow	somevo	kisi n kisi jrv	किसी न किसी तरह	सोमेहो	কিসী ন কিসী তরহ	kisi n kisi jrv	কিসী ন কিসী তরহ	kisi n kisi jrv		
someone	someone	smwn	koi jo	कोई तो	समवन	কোঈ তো	koi jo	কোঈ তো	koi jo		
something	something	smJiNg	kuC	कुछ	समथिंग	কুছ	kuC	কুছ	kuC		
sometimes	sometimes	somejimes	kBi–kBi	कभी–कभी	सोमेतिमेस	কভী–কভী	kBi–kBi	কভী–কভী	kBi–kBi		
somewhat	somewhat	smuvj	kuC vq jk	कुछ हद तक	समूहत	কুছ হদ তক	kuC vq jk	কুছ হদ তক	kuC vq jk		
somewhere	somewhere	smweyr	kvi	कहीं	समवेयर	কহীং	kvi	কহীং	kvi		
son	son	son	beta	बेटा	सोन	বেটা	beta	বেটা	beta		
song	song	saNg	gana	गाना	सांग	গানা	gana	গানা	gana		
soon	soon	sun	zlq vi	जल्द ही	सून	জল্দ হী	zlq vi	জল্দ হী	zlq vi		
sophisticated	sophisticated	sofistiketed	priskrj	परिष्कृत	सोफिस्टिकेटेड	পরিষ্কৃত	priskrj	পরিষ্কৃত	priskrj		
sorry	sorry	sari	maf krna	माफ़ करना	सॉरी	মাফ় করনা	maf krna	মাফ় করনা	maf krna		
sort	sort	sart	krm se lgana	क्रम से लगाना	सॉर्ट	ক্রম সে লগানা	krm se lgana	ক্রম সে লগানা	krm se lgana		
soul	soul	sol	xajma	आत्मा	सोल	আত্মা	xajma	আত্মা	xajma		
sound	sound	saund	Qwni	ध्वनि	साउंड	ধ্঵নি	Qwni	ধ্঵নি	Qwni		
soup	soup	sup	Sorba	शोरबा	सूप	শোরবা	Sorba	শোরবা	Sorba		
source	source	sors	sroj	स्रोत	सोर्स	স্রোত	sroj	স্রোত	sroj		
south	south	sauJ	qSin	दक्षिण	साउथ	দক্ষিণ	qSin	দক্ষিণ	qSin		
southern	southern	sauJrn	qSin	दक्षिण	साउथर्न	দক্ষিণ	qSin	দক্ষিণ	qSin		
soviet	sowiet	sowiyj	sowiyj	सोवियत	सोवियत	সো঵িযত	sowiyj	সো঵িযত	sowiyj		
space	space	spes	xnjriS	अंतरिक्ष	स्पेस	অংতরিক্ষ	xnjriS	অংতরিক্ষ	xnjriS		
spanish	spanish	speniS	spxiniS	स्पैनिश	स्पेनिश	স্পৈনিশ	spxiniS	স্পৈনিশ	spxiniS		
speak	speak	spik	bolna	बोलना	स्पीक	বোলনা	bolna	বোলনা	bolna		
speaker	speaker	spikr	wkja	वक्ता	स्पीकर	঵ক্তা	wkja	঵ক্তা	wkja		
special	special	speSl	wiSes	विशेष	स्पेशल	঵িশেষ	wiSes	঵িশেষ	wiSes		
specialist	specialist	speSlist	SPECIALIST	SPECIALIST	स्पेशलिस्ट	SPECIALIST	SPECIALIST	SPECIALIST	SPECIALIST		
species	species	spiSiz	przajiya	प्रजातियाँ	स्पीशीज	প্রজাতিযাঁ	przajiya	প্রজাতিযাঁ	przajiya		
specific	specific	spesifik	wiSist	विशिष्ट	स्पेसिफिक	঵িশিষ্ট	wiSist	঵িশিষ্ট	wiSist		
specifically	specifically	spesifiklly	wiSes rup se	विशेष रूप से	स्पेसिफिकल्ल्य	঵িশেষ রূপ সে	wiSes rup se	঵িশেষ রূপ সে	wiSes rup se		
speech	speech	spic	Basn	भाषण	स्पीच	ভাষণ	Basn	ভাষণ	Basn		
speed	speed	spid	rfjar	रफ़्तार	स्पीड	রফ়্তার	rfjar	রফ়্তার	rfjar		
spend	spend	spend	Krc krje vxi	खर्च करते हैं	स्पेंड	খর্চ করতে হৈং	Krc krje vxi	খর্চ করতে হৈং	Krc krje vxi		
spending	spending	spendiNg	Krc	खर्च	स्पेंडिंग	খর্চ	Krc	খর্চ	Krc		
spin	spin	spin	Gumana	घुमाना	स्पिन	ঘুমানা	Gumana	ঘুমানা	Gumana		
spirit	spirit	spirit	xajma	आत्मा	स्पिरिट	আত্মা	xajma	আত্মা	xajma		
spiritual	spiritual	spiricuxl	xaQyajmik	आध्यात्मिक	स्पिरिचुअल	আধ্যাত্মিক	xaQyajmik	আধ্যাত্মিক	xaQyajmik		
split	split	split	wiBazij krna	विभाजित करना	स्प्लिट	঵িভাজিত করনা	wiBazij krna	঵িভাজিত করনা	wiBazij krna		
spokesman	spokesman	spoksmxin	prwkja	प्रवक्ता	स्पोक्समैन	প্র঵ক্তা	prwkja	প্র঵ক্তা	prwkja		
sport	sport	sport	Kel	खेल	स्पोर्ट	খেল	Kel	খেল	Kel		
spot	spot	spat	sJan	स्थान	स्पॉट	স্থান	sJan	স্থান	sJan		
spread	spread	spred	fxila vuxa	फैला हुआ	स्प्रेड	ফৈলা হুআ	fxila vuxa	ফৈলা হুআ	fxila vuxa		
spring	spring	spriNg	wsnj	वसंत	स्प्रिंग	঵সংত	wsnj	঵সংত	wsnj		
square	skuare	skwayr	wrg	वर्ग	स्क्वायर	঵র্গ	wrg	঵র্গ	wrg		
squeeze	skueeze	skwiज़	nicoRna	निचोड़ना	स्क्वीज़	নিচোড়না	nicoRna	নিচোড়না	nicoRna		
stability	stability	stebiliti	sJirja	स्थिरता	स्टेबिलिटी	স্থিরতা	sJirja	স্থিরতা	sJirja		
stable	stable	stebl	sJir	स्थिर	स्टेबल	স্থির	sJir	স্থির	sJir		
staff	staff	staf	krmcari	कर्मचारी	स्टाफ	কর্মচারী	krmcari	কর্মচারী	krmcari		
stage	stage	stez	mnc	मंच	स्टेज	মংচ	mnc	মংচ	mnc		
stair	stair	sjxir	siRi	सीढ़ी	स्तैर	সীঢ়ী	siRi	সীঢ়ী	siRi		
stake	stake	stake	qanw lgana	दांव लगाना	सटाके	দাং঵ লগানা	qanw lgana	দাং঵ লগানা	qanw lgana		
stand	stand	stxind	stxind	स्टैंड	स्टैंड	স্টৈংড	stxind	স্টৈংড	stxind		
standard	standard	stxindrd	mank	मानक	स्टैण्डर्ड	মানক	mank	মানক	mank		
standing	standing	stxindiNg	KRa vxi	खड़ा है	स्टैंडिंग	খড়া হৈ	KRa vxi	খড়া হৈ	KRa vxi		
star	star	star	sijara	सितारा	स्टार	সিতারা	sijara	সিতারা	sijara		
stare	stare	sjr	ektk qeKna	एकटक देखना	स्तर	একটক দেখনা	ektk qeKna	একটক দেখনা	ektk qeKna		
start	start	start	prarmB	प्रारंभ	स्टार्ट	প্রারংভ	prarmB	প্রারংভ	prarmB		
state	state	stet	razy	राज्य	स्टेट	রাজ্য	razy	রাজ্য	razy		
statement	statement	stetment	byan	बयान	स्टेटमेंट	বযান	byan	বযান	byan		
station	station	steSn	steSn	स्टेशन	स्टेशन	স্টেশন	steSn	স্টেশন	steSn		
statistics	statistics	stetistiks	xaNkRe	आंकड़े	स्टेटिस्टिक्स	আংকড়ে	xaNkRe	আংকড়ে	xaNkRe		
status	status	stets	qrza	दर्जा	स्टेटस	দর্জা	qrza	দর্জা	qrza		
stay	stay	ste	rvna	रहना	स्टे	রহনা	rvna	রহনা	rvna		
steady	steady	stedi	niymij	नियमित	स्टेडी	নিযমিত	niymij	নিযমিত	niymij		
steal	steal	stil	curana	चुराना	स्टील	চুরানা	curana	চুরানা	curana		
steel	steel	stil	ispaj	इस्पात	स्टील	ইস্পাত	ispaj	ইস্পাত	ispaj		
step	step	step	kqm	कदम	स्टेप	কদম	kqm	কদম	kqm		
stick	stick	stik	CRi	छड़ी	स्टिक	ছড়ী	CRi	ছড়ী	CRi		
still	still	stil	fir Bi	फिर भी	स्टिल	ফির ভী	fir Bi	ফির ভী	fir Bi		
stir	stir	sjir	vlcl	हलचल	स्तिर	হলচল	vlcl	হলচল	vlcl		
stock	stock	stak	Bndar	भण्डार	स्टॉक	ভণ্ডার	Bndar	ভণ্ডার	Bndar		
stomach	stomach	sjomc	pet	पेट	स्तोमच	পেট	pet	পেট	pet		
stone	stone	ston	pJri	पथरी	स्टोन	পথরী	pJri	পথরী	pJri		
stop	stop	stap	wiram	विराम	स्टॉप	঵িরাম	wiram	঵িরাম	wiram		
storage	storage	storez	Bndarn	भंडारण	स्टोरेज	ভংডারণ	Bndarn	ভংডারণ	Bndarn		
store	store	stor	qukan	दुकान	स्टोर	দুকান	qukan	দুকান	qukan		
storm	storm	starm	xanQi	आंधी	स्टॉर्म	আংধী	xanQi	আংধী	xanQi		
story	story	stori	kvani	कहानी	स्टोरी	কহানী	kvani	কহানী	kvani		
straight	straight	strxit	siQa	सीधा	स्ट्रैट	সীধা	siQa	সীধা	siQa		
strange	strange	strenz	xnoKa	अनोखा	स्ट्रेंज	অনোখা	xnoKa	অনোখা	xnoKa		
stranger	stranger	strenzr	xznbi	अजनबी	स्ट्रेंजर	অজনবী	xznbi	অজনবী	xznbi		
strategic	strategic	stretezik	samrik	सामरिक	स्ट्रेटेजिक	সামরিক	samrik	সামরিক	samrik		
strategy	strategy	stretezi	rnniji	रणनीति	स्ट्रेटेजी	রণনীতি	rnniji	রণনীতি	rnniji		
stream	stream	strim	Qara	धारा	स्ट्रीम	ধারা	Qara	ধারা	Qara		
street	street	strit	sRk	सड़क	स्ट्रीट	সড়ক	sRk	সড়ক	sRk		
strength	strength	strenJ	jakj	ताकत	स्ट्रेंथ	তাকত	jakj	তাকত	jakj		
strengthen	strengthen	streNgJen	ko mzbuj	को मजबूत	स्ट्रेंग्थेन	কো মজবূত	ko mzbuj	কো মজবূত	ko mzbuj		
stress	stress	stres	jnaw	तनाव	स्ट्रेस	তনা঵	jnaw	তনা঵	jnaw		
stretch	stretch	strec	fxilaw	फैलाव	स्ट्रेच	ফৈলা঵	fxilaw	ফৈলা঵	fxilaw		
strike	strike	straik	Qrna	धरना	स्ट्राइक	ধরনা	Qrna	ধরনা	Qrna		
string	string	striNg	dori	डोरी	स्ट्रिंग	ডোরী	dori	ডোরী	dori		
strip	strip	strip	ptti	पट्टी	स्ट्रिप	পট্টী	ptti	পট্টী	ptti		
stroke	stroke	strok	xaGaj	आघात	स्ट्रोक	আঘাত	xaGaj	আঘাত	xaGaj		
strong	strong	straNg	blwan	बलवान	स्ट्रांग	বল঵ান	blwan	বল঵ান	blwan		
strongly	strongly	strangli	qrRja se	दृढ़ता से	स्ट्रॉन्ग्ली	দৃঢ়তা সে	qrRja se	দৃঢ়তা সে	qrRja se		
structure	structure	strkcr	snrcna	संरचना	स्ट्रक्चर	সংরচনা	snrcna	সংরচনা	snrcna		
struggle	struggle	strgl	lRai	लड़ाई	स्ट्रगल	লড়াঈ	lRai	লড়াঈ	lRai		
student	student	student	Cajr	छात्र	स्टूडेंट	ছাত্র	Cajr	ছাত্র	Cajr		
studio	studio	studiyo	studiyo	स्टूडियो	स्टूडियो	স্টূডিযো	studiyo	স্টূডিযো	studiyo		
study	study	stdi	xQyyn	अध्ययन	स्टडी	অধ্যযন	xQyyn	অধ্যযন	xQyyn		
stuff	stuff	stf	samgri	सामग्री	स्टफ	সামগ্রী	samgri	সামগ্রী	samgri		
stupid	stupid	stupid	bewkuf	बेवकूफ	स्टुपिड	বে঵কূফ	bewkuf	বে঵কূফ	bewkuf		
style	style	stail	Sxili	शैली	स्टाइल	শৈলী	Sxili	শৈলী	Sxili		
subject	subzect	sbzekt	wisy	विषय	सब्जेक्ट	঵িষয	wisy	঵িষয	wisy		
submit	submit	sbmit	prsjuj	प्रस्तुत	सबमिट	প্রস্তুত	prsjuj	প্রস্তুত	prsjuj		
subsequent	subsekuent	sbsekent	baq ka	बाद का	सबसेकेंट	বাদ কা	baq ka	বাদ কা	baq ka		
substance	substance	sbstans	pqarJ	पदार्थ	सब्सटांस	পদার্থ	pqarJ	পদার্থ	pqarJ		
substantial	substantial	sbstantiyl	snjosznk	संतोषजनक	सब्सटांटियल	সংতোষজনক	snjosznk	সংতোষজনক	snjosznk		
succeed	succeed	sksid	sfl vona	सफल होना	सक्सीड	সফল হোনা	sfl vona	সফল হোনা	sfl vona		
success	success	skses	sflja	सफलता	सक्सेस	সফলতা	sflja	সফলতা	sflja		
successful	successful	sksesful	sfl	सफल	सक्सेसफुल	সফল	sfl	সফল	sfl		
successfully	successfully	sksessfulli	sfljapurwk	सफलतापूर्वक	सक्सेस्स्फुल्ली	সফলতাপূর্঵ক	sfljapurwk	সফলতাপূর্঵ক	sfljapurwk		
such	such	suc	esa	ऐसा	सुच	ঐসা	esa	ঐসা	esa		
sudden	sudden	suqqin	xcank	अचानक	सुद्दीन	অচানক	xcank	অচানক	xcank		
suddenly	suddenly	sdnli	xcank se	अचानक से	सडनली	অচানক সে	xcank se	অচানক সে	xcank se		
sue	sue	sue	mukqma clana	मुक़दमा चलाना	सूए	মুক়দমা চলানা	mukqma clana	মুক়দমা চলানা	mukqma clana		
suffer	suffer	suffer	Bugjna	भुगतना	सुफ्फेर	ভুগতনা	Bugjna	ভুগতনা	Bugjna		
sufficient	sufficient	suffisient	pryapj	पर्याप्त	सुफ्फिसिएंट	পর্যাপ্ত	pryapj	পর্যাপ্ত	pryapj		
sugar	sugar	Sugr	cini	चीनी	शुगर	চীনী	cini	চীনী	cini		
suggest	suggest	suggest	suZaw qena	सुझाव देना	सुग्गेस्ट	সুঝা঵ দেনা	suZaw qena	সুঝা঵ দেনা	suZaw qena		
suggestion	suggestion	suggestiw	suZaw	सुझाव	सुग्गेस्टिव	সুঝা঵	suZaw	সুঝা঵	suZaw		
suicide	suicide	susaid	xajmGaji	आत्मघाती	सुसाइड	আত্মঘাতী	xajmGaji	আত্মঘাতী	xajmGaji		
suit	suit	sut	suwiQaznk vona	सुविधाजनक होना	सूट	সু঵িধাজনক হোনা	suwiQaznk vona	সু঵িধাজনক হোনা	suwiQaznk vona		
summer	summer	smr	grmi	गर्मी	समर	গর্মী	grmi	গর্মী	grmi		
summit	summit	smit	bxiTk	बैठक	समिट	বৈঠক	bxiTk	বৈঠক	bxiTk		
sun	sun	sun	rwi	रवि	सुन	র঵ি	rwi	র঵ি	rwi		
super	super	supr	ujjm	उत्तम	सुपर	উত্তম	ujjm	উত্তম	ujjm		
supply	supply	splai	xapurji	आपूर्ति	सप्लाई	আপূর্তি	xapurji	আপূর্তি	xapurji		
support	support	sport	svyog	सहयोग	सपोर्ट	সহযোগ	svyog	সহযোগ	svyog		
supporter	supporter	supportr	smrJk	समर्थक	सुप्पोर्टर	সমর্থক	smrJk	সমর্থক	smrJk		
suppose	suppose	suppose	man lizie	मान लीजिए	सूपपोसे	মান লীজিএ	man lizie	মান লীজিএ	man lizie		
supposed	supposed	supposeq	klpij	कल्पित	सुप्पोसेद	কল্পিত	klpij	কল্পিত	klpij		
supreme	supreme	suprim	suprim	सुप्रीम	सुप्रीम	সুপ্রীম	suprim	সুপ্রীম	suprim		
sure	sure	sure	zrur	ज़रूर	सूरे	জ়রূর	zrur	জ়রূর	zrur		
surely	surely	sureli	niScij rup se	निश्चित रूप से	सुरेली	নিশ্চিত রূপ সে	niScij rup se	নিশ্চিত রূপ সে	niScij rup se		
surface	surface	srfes	sjv	सतह	सरफेस	সতহ	sjv	সতহ	sjv		
surgery	surgery	srzri	Sly cikijsa	शल्य चिकित्सा	सर्जरी	শল্য চিকিত্সা	Sly cikijsa	শল্য চিকিত্সা	Sly cikijsa		
surprise	surprise	srpraiz	xaScry	आश्चर्य	सरप्राइज	আশ্চর্য	xaScry	আশ্চর্য	xaScry		
surprised	surprised	surprised	xaScry ckij	आश्चर्य चकित	सुरप्रीसेड	আশ্চর্য চকিত	xaScry ckij	আশ্চর্য চকিত	xaScry ckij		
surprising	surprising	surprisiNg	couNka qene wala	चौंका देने वाला	सुर्प्रिसिंग	চৌংকা দেনে ঵ালা	couNka qene wala	চৌংকা দেনে ঵ালা	couNka qene wala		
surprisingly	surprisingly	surprisiNgly	vxirani ki baj vxi	हैरानी की बात है	सुर्प्रिसिंगलय	হৈরানী কী বাত হৈ	vxirani ki baj vxi	হৈরানী কী বাত হৈ	vxirani ki baj vxi		
surround	surround	sraund	caro or se Gerna	चारों ओर से घेरना	सराउंड	চারোং ওর সে ঘেরনা	caro or se Gerna	চারোং ওর সে ঘেরনা	caro or se Gerna		
survey	surwey	srwe	srweSn	सर्वेक्षण	सर्वे	সর্঵েক্ষণ	srweSn	সর্঵েক্ষণ	srweSn		
survival	surwiwal	srwaiwl	ziwij rvna	जीवित रहना	सर्वाइवल	জী঵িত রহনা	ziwij rvna	জী঵িত রহনা	ziwij rvna		
survive	surwiwe	srwaiw	ziwij bcna	जीवित बचना	सर्वाइव	জী঵িত বচনা	ziwij bcna	জী঵িত বচনা	ziwij bcna		
survivor	surwiwor	srwaiwr	ujjrziwi	उत्तरजीवी	सर्वाइवर	উত্তরজী঵ী	ujjrziwi	উত্তরজী঵ী	ujjrziwi		
suspect	suspect	sspekt	snqigQ wykji	संदिग्ध व्यक्ति	सस्पेक्ट	সংদিগ্ধ ঵্যক্তি	snqigQ wykji	সংদিগ্ধ ঵্যক্তি	snqigQ wykji		
sustain	sustain	ssten	bnae rKna	बनाए रखना	सस्टेन	বনাএ রখনা	bnae rKna	বনাএ রখনা	bnae rKna		
swear	swear	swexr	ksm Kaja	कसम खाता	स्वेअर	কসম খাতা	ksm Kaja	কসম খাতা	ksm Kaja		
sweep	sweep	swip	ZaRu lga qo	झाड़ू लगा दो	स्वीप	ঝাড়ূ লগা দো	ZaRu lga qo	ঝাড়ূ লগা দো	ZaRu lga qo		
sweet	sweet	swit	miTa	मीठा	स्वीट	মীঠা	miTa	মীঠা	miTa		
swim	swim	swim	jxirna	तैरना	स्विम	তৈরনা	jxirna	তৈরনা	jxirna		
swing	swing	swiNg	Zula	झूला	स्विंग	ঝূলা	Zula	ঝূলা	Zula		
switch	switch	swic	bqlna	बदलना	स्विच	বদলনা	bqlna	বদলনা	bqlna		
symbol	symbol	simbl	cinv, prjik	चिन्ह, प्रतीक	सिंबल	চিন্হ, প্রতীক	cinv, prjik	চিন্হ, প্রতীক	cinv, prjik		
symptom	symptom	simptm	lSn	लक्षण	सिम्प्टम	লক্ষণ	lSn	লক্ষণ	lSn		
system	system	sistm	wywsJa	व्यवस्था	सिस्टम	঵্য঵স্থা	wywsJa	঵্য঵স্থা	wywsJa		
table	table	tebl	mez	मेज़	टेबल	মেজ়	mez	মেজ়	mez		
tablespoon	tablespoon	jblespun	bRa cmca	बड़ा चमचा	तबलेसपूण	বড়া চমচা	bRa cmca	বড়া চমচা	bRa cmca		
